pokemon_id,type_name,slot
1,grass,1
1,poison,2
2,grass,1
2,poison,2
3,grass,1
3,poison,2
4,fire,1
5,fire,1
6,fire,1
6,flying,2
7,water,1
8,water,1
9,water,1
10,bug,1
11,bug,1
12,bug,1
12,flying,2
13,bug,1
13,poison,2
14,bug,1
14,poison,2
15,bug,1
15,poison,2
16,normal,1
16,flying,2
17,normal,1
17,flying,2
18,normal,1
18,flying,2
19,normal,1
20,normal,1
21,normal,1
21,flying,2
22,normal,1
22,flying,2
23,poison,1
24,poison,1
25,electric,1
26,electric,1
27,ground,1
28,ground,1
29,poison,1
30,poison,1
31,poison,1
31,ground,2
32,poison,1
33,poison,1
34,poison,1
34,ground,2
35,fairy,1
36,fairy,1
37,fire,1
38,fire,1
39,normal,1
39,fairy,2
40,normal,1
40,fairy,2
41,poison,1
41,flying,2
42,poison,1
42,flying,2
43,grass,1
43,poison,2
44,grass,1
44,poison,2
45,grass,1
45,poison,2
46,bug,1
46,grass,2
47,bug,1
47,grass,2
48,bug,1
48,poison,2
49,bug,1
49,poison,2
50,ground,1
51,ground,1
52,normal,1
53,normal,1
54,water,1
55,water,1
56,fighting,1
57,fighting,1
58,fire,1
59,fire,1
60,water,1
61,water,1
62,water,1
62,fighting,2
63,psychic,1
64,psychic,1
65,psychic,1
66,fighting,1
67,fighting,1
68,fighting,1
69,grass,1
69,poison,2
70,grass,1
70,poison,2
71,grass,1
71,poison,2
72,water,1
72,poison,2
73,water,1
73,poison,2
74,rock,1
74,ground,2
75,rock,1
75,ground,2
76,rock,1
76,ground,2
77,fire,1
78,fire,1
79,water,1
79,psychic,2
80,water,1
80,psychic,2
81,electric,1
81,steel,2
82,electric,1
82,steel,2
83,normal,1
83,flying,2
84,normal,1
84,flying,2
85,normal,1
85,flying,2
86,water,1
87,water,1
87,ice,2
88,poison,1
89,poison,1
90,water,1
91,water,1
91,ice,2
92,ghost,1
92,poison,2
93,ghost,1
93,poison,2
94,ghost,1
94,poison,2
95,rock,1
95,ground,2
96,psychic,1
97,psychic,1
98,water,1
99,water,1
100,electric,1
101,electric,1
102,grass,1
102,psychic,2
103,grass,1
103,psychic,2
104,ground,1
105,ground,1
106,fighting,1
107,fighting,1
108,normal,1
109,poison,1
110,poison,1
111,ground,1
111,rock,2
112,ground,1
112,rock,2
113,normal,1
114,grass,1
115,normal,1
116,water,1
117,water,1
118,water,1
119,water,1
120,water,1
121,water,1
121,psychic,2
122,psychic,1
122,fairy,2
123,bug,1
123,flying,2
124,ice,1
124,psychic,2
125,electric,1
126,fire,1
127,bug,1
128,normal,1
129,water,1
130,water,1
130,flying,2
131,water,1
131,ice,2
132,normal,1
133,normal,1
134,water,1
135,electric,1
136,fire,1
137,normal,1
138,rock,1
138,water,2
139,rock,1
139,water,2
140,rock,1
140,water,2
141,rock,1
141,water,2
142,rock,1
142,flying,2
143,normal,1
144,ice,1
144,flying,2
145,electric,1
145,flying,2
146,fire,1
146,flying,2
147,dragon,1
148,dragon,1
149,dragon,1
149,flying,2
150,psychic,1
151,psychic,1
